" and above."," i powyżej."
"Manage Tax Rules","Zarządzaj regułami podatków"
"Manage Titles (Size, Color, etc.)","Zarządzaj tytułami (Rozmiar, Kolor itp.)"
"Matching Products","Produkty spełniające kryteria"
"Maximum Qty Discount is Applied to","Maksymalna zniżka ilościowa jest stosowana dla"
Message,Wiadomość
"Meta Data","Dane META"
"Meta Description","Opis META"
"Meta Keywords","Słowa kluczowe META"
"Move Item to:","Przenieś do:"
"Multiple Select","Pole wielokrotnego wyboru"
"My Account","Moje konto"
N/A,n/d
n/a,n/d
Name,Nazwa
"Name In %s","Nazwa w %s"
"Name In Store","Nazwa w sklepie"
"Name on the Card","Nazwa na karcie"
"Name on the Card: %s","<strong>Nazwa na karcie:</strong> <span class=""nowrap"">%s</span>"
"Name<br/>(For internal use)","Nazwa<br/>(do użytku wewnętrznego)"
Never,Nigdy
"New Address","Nowy adres"
"New Block","Nowy blok"
"New Category","Nowa kategoria"
"New Credit Memo for Invoice #","Nowy dokument kredytowy dla faktury nr."
"New Currency","Nowa waluta"
"new customer","nowy klient"
"New Customer","Nowy klient"
"New Customer Address","Nowy adres klienta"
"New Customer Group","Nowa grupa klientów"
"New Customer Groups","Nowe grupy klientów"
"New Customer Tax Class","Nowa klasa podatku dla klienta"
"New Email Template","Nowy szablon email"
"New Group","Nowa grupa"
"New Invoice for Order #%s","Nowa faktura dla zamówienia nr.%s"
"New Newsletter Template","Nowy szablon newslettera"
"New Order","Now zamówienie"
"New Page","Nowa strona"
"New Password","Nowe hasło"
"New Poll","Nowa ankieta"
"New Product","Nowy produkt"
"New Product Attribute","Nowa cecha produktu"
"New Product Tax Class","Nowa klasa podatku dla produktu"
"New Rating","Nowa ocena"
"New Review","Nowa recenzja"
"New Rule","Nowa reguła"
"New Search","Nowe wyszukiwanie"
"New Set Name","Nowa nazwa zestawu"
"New Store","Nowy sklep"
"New System Template","Nowy szablon systemowy"
"New Tag","Nowy tag"
"New Tax Rate","Nowa stawka podatku"
"New Tax Rule","Nowa reguła podatku"
"New Template","Nowy szablon"
"New User","Nowy użytkownik"
"New Website","Nowa strona"
Newsletter,Newsletter
"Newsletter Finish","Koniec newslettera"
"Newsletter Information","Informacje o newsletterze"
"Newsletter Message Preview","Podgląd newslettera"
"Newsletter Problem Reports","Problemy w wysyłce newslettera"
"Newsletter Queue","Kolejka newslettera"
"Newsletter Received","Newsletter otrzymany"
"Newsletter Start","Start newslettera"
"Newsletter Subscribers","Subskrybenci newslettera"
"Newsletter Subscription","Subskrybcja newslettera"
"Newsletter Templates","Szablony newslettera"
"Next page","Następna strona"
Nickname,Nick
No,Nie
"No description","Brak opisu"
"No Items Found","Nie znaleziono elementów"
"No Newsletter Found","Brak newslettera"
"No problems found","Nie znaleziono problemów"
"No records found.","Brak wyników."
"No search modules registered","Brak zarejestrowanych modułów wyszukiwania"
"No Templates Found","Nie znaleziono szablonów"
None,Brak
"Not activated",Nieaktywny
"NOT LOGGED IN","NIE ZALOGOWANY"
"Not Sent","Nie wysłane"
"Number Added","Ilość dych"
"Number Fulfilled","Ilość wystarczająca do realizacji zamówienia"
"Number of items bought from a wishlist: %s","Ilość produktów zakupionych z listy życzeń: %s"
"Number of Responses","Ilość odpowiedzi"
"Number of results<br/>(For last time placed)","Ilość wyników<br/>(od ostatniego razu)"
"Number Of Reviews","Ilość recenzji"
"Number of Reviews","Ilość recenzji"
"Number of times deleted","Ile razy skasowano"
"Number of times wishlists have been shared (emailed): %s","Ilość razy kiedy lista życzeń została wysłana do innych: %s"
"Number of Total Tags","Łączna ilość tagów"
"Number of Unique Tags","Liczba unikalnych tagów"
"Number of Uses","Ilość użyć"
"Number of wishlist conversions: %s","Liczba konwersji za pomocą listy życzeń: %s"
"Number of wishlist referrals: %s","Ilość osób poleconych za pośrednictwem listy życzeń: %s"
"Number of wishlists: %s","Ilość list życzeń: %s"
"Number Purchased","Ilość kupionych produktów"
"Number Viewed","Ilość wyświetleń"
"of %s pages","z &nbsp<strong>%s</strong> stron"
Offline,Offline
Online,Online
"Online Customers","Klienci online"
Open,Otwarty
Option,Opcja
"Option Label","Nazwa opcji"
"Option Title","Tytuł dla opcji"
"Option Title:","Tytuł opcji:"
Option:,Opcja:
Options,Opcje
"Options Control","Kontrola opcji"
or,lub
"Order #","Zamówienie nr."
"Order #%s","Zamówienie nr.%s"
"Order #%s (%s)","Zamówienie nr.%s (%s)"
"Order Comment:","Komentarze do zamówienia:"
"Order Date: %s","Data zamówienia: %s"
"Order History","Historia zamówień"
"Order Information","Informacje o zamówieniu"
"Order Status","Status zamówienia"
"Order status was successfully changed","Status został zmieniony"
"Order Status: %s","Status zamówienia: %s"
"Order Total","Suma zamówienia"
"Order Totals","Sumy zamówień"
"Order was not cancelled","Zamówienie nie zostało anulowane"
"Order was not changed","Zamówienie nie zostało zmienione"
"Order was successfully cancelled","Zamówienie zostało anulowane"
Orders,Zamówienia
Page,Strona
"Page Information","Informacje o stronie"
"Page Status","Status strony"
"Page Title","Tytuł strony"
"Page was successfully deleted","Strona została usunięta"
"Page was successfully saved","Strona została zapisana"
"Parent Category","Kategoria nadrzędna"
Password,Hasło
"Password Confirmation","Potwierdzenie hasła"
"Password Management","Zarządzanie hasłami"
Password:,Hasło:
Pause,Pauza
Paused,Zatrzymany
"Payment Method","Forma płatności"
Pending,Oczekujący
"Pending Reviews","Recenzje oczekujące"
"Pending Tags","Tagi oczekujące"
"Per Item","Za sztukę"
"Per Order","Na zamówienie"
"per page","na stronę"
"Percent of product price discount","Procent zniżki dla ceny produktu"
Percentage,Procent
Permission,Uprawnienia
Permissions,Uprawnienia
"Personal Information","Informacje osobiste"
"Physical Products","Produkty trwałe"
"Please add one or more options","Dodaj jedną lub więcej opcji"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potwierdź przełączenie widoku. Niezapisane dane zostaną utracone."
"Please enter a new group name","Wpisz nazwę nowej grupy"
"Please fill in 'email' field.","Uzupełnij pole 'email'."
"Please make sure that all global admin search modules are installed and activated.","Please make sure that all global admin search modules are installed and activated."
"Please select a customer","Wybierz klienta"
"Please select a product","Wybierz produkt"
"Please select a store","Wybierz sklep"
"Please select one of each of the ratings above","Wybierz po jednej ocenie w każdej sekcji powyżej"
"Please select one or more attributes.","Wybierz jedną lub więcej cech"
"Please select products to add","Zaznacz produkty do dodania"
"Please select State","Wybierz województwo"
"Please, select County","Wybierz państwo"
"Please, select Customer Tax Class","Wybierz klasę podatku dla klienta"
"Please, select Product Tax Class","Wybierz klasę podatku"
"Please, select Rate","Wybierz stawkę"
"Poducts Report","Raport dla produktów"
"Poll Answers","Odpowiedzi do ankiety"
"Poll information","Informacje o ankiecie"
"Poll Information","Informacje o ankiecie"
"Poll Manager",Ankiety
"Poll Question","Pytanie do ankiety"
"Poll was successfully deleted","Ankieta została usunięta"
"Poll was successfully saved","Ankieta została zapisana"
Polls,Ankiety
Popular,Popularne
"Popular Tags","Popularne tagi"
Position,Pozycja
Preview,Podgląd
"Previous page","Poprzednia strona"
Price,Cena
Price:,Cena:
"Primary Billing Address","Podstawowy adres płatnika"
Priority,Priorytet
Processed,Przetwarzanie
Product,Produkt
"Product Attribute Sets","Zestawy cech produktu"
"Product attribute was successfully deleted","Cecha produktu została usunięta"
"Product attribute was successfully saved","Product attribute was successfully saved"
"Product Attributes",Cechyuktów
"Product Categories","Kategorie produktu"
"Product deleted","Produkt został usunięty"
"Product duplicated","Produkt zduplikowany"
"Product ID","ID produktu"
"Product In Stores","Produkt w sklepach"
"Product Information","Informacje o produkcie"
"Product Name","Nazwa produktu"
"Product name","Nazwa produktu"
"Product Rating","Ocena produktu"
"Product Reviews","Recenzje produktów"
"Product saved","Produkt został zapisany"
"Product SKU","Kod producenta produktu"
"Product Tags","Tagi produktów"
"Product Tags (Total)","Tagi produktu (w sumie)"
"Product Tax Class","Klasa podatku dla produktu"
"Product Tax Class Information","Informacje o stawce podatku dla produktu"
"Product Tax Classes","Klasy podatku dla produktów"
"Product Type","Typ produktu"
Products,Produkty
"Products (Total)","Produkty (w sumie)"
"Products Report","Raport produktów"
"Products Report (Total)","Raport produktów (Sumaryczny)"
"Products Reviews","Recenzje produtków"
"Products Tagged with '%s'","Produkty oznaczone tagiem '%s'"
"Products Tags","Tagi produktów"
"Products' Tags","Tagi produktów"
Promo,Promocja
Promotions,Promocje
"Purchase On",Kupiono
"Purchase Order Number","Numer zamówienia"
"Purchase Order Number: %s","<strong>Numer zamówienia:</strong> <span class=""nowrap"">%s</span>"
"Purchased at","Kupiono w"
"Purchased from (store)","Kupione w sklepie"
"Purchased On","Kupiono dnia"
Qty,Ilość
"Qty Backordered","Ilość brakująca do realizacji zamówienia"
"Qty Cancelled"," Anulowana ilość"
"Qty Ordered","Ilość zamówiona"
"Qty Returned","Ilość zwrócona"
"Qty Shipped","Ilość dostarczona"
"Qty To Add","Ilość do dodania"
"Qty To Return","Ilość do zwrotu"
"Queue Date Start","Start kolejki"
"Queue Finish","Koniec kolejki"
"Queue Information","Informacje o kolejce"
"Queue Newsletter","Kolejka newslettera"
"Queue Start","Start kolejki"
"Queue Subject","Tytuł kolejki"
Rate,Stawka
"Rate With %s","Oceń z %s"
Rates,Stawki
Rating,Ocena
"Rating information","Informacje o ocenie"
"Rating Information","Informacje o ocenie"
"Rating isn't Available","Ocena niedostępna"
"Rating Name","Nazwa oceny"
"Rating Options","Ustawienia ocen"
"Rating Title","Nazwa oceny"
"Rating was successfully deleted","Ocena została usunięta"
"Rating was successfully saved","Ocena została usunięta"
Ratings,Oceny
"Recent Orders","Ostatnie zamówienia"
"Recently Compared","Ostatnio porównywane"
"Recently Viewed","Ostatnio oglądane"
Recipients,Odbiorcy
Redirect,Przekierowanie
"Redirect URL","Adres dla przekierowania"
Region/State,Województwo
"Related Products","Produkty podobne"
Remove,Usuń
"Remove Item",Usuń
Reports,Raporty
Required,Wymagane
Reset,Resetuj
"Reset Filter","Resetuj filtr"
Results,Wyniki
Resume,Resume
"Return Html Version","Przełącz na wersję HTML"
Revenue,Zysk
Review,Recenzja
"Review Details","Szczegóły recenzji"
"Review successfully deleted","Recenzja została usunięta"
"Review was saved successfully","Recenzja została zapisana"
"Review was successfully saved","Recenzja została zapisana"
Reviews,Recenzje
"Reviews &amp; Ratings","Recenzje &amp; oceny Ratings"
"Reviews Report","Raport recenzji"
"Role ID","ID grupy"
"Role Info","Informacje o grupie uprawnień"
"Role Information","Informacje o poziomie uprawnień"
"Role Name","Nazwa poziomu uprawnień"
"Role Resources","Dostępne zasoby dla grupy"
"Role successfully deleted.","Grupa uprawnień została usunięta"
"Role successfully saved.","Grupa została zapisana."
"Role Users","Grupa użytkowników"
Roles,"Grupy użytkowników"
"Roles Resources","Zasoby dostępne dla grupy"
Root,Nadrzędny
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Rule was successfully deleted",Ręta
"Rule was successfully saved","Reguła została zapisana"
"Rules were successfully applied","Reguły zostały zastosowane"
Sales,Sprzedaż
"Sales Report","Raport sprzedaży"
"Sales Statistics","Statystyki sprzedaży"
"Same as Billing Address","Taki sam jak adres płatnika"
Save,Zapisz
"Save Account","Zapisz zmiany w koncie"
"Save and Apply","Zapisz i zastosuj"
"Save And Continue Edit","Zapisz i kontynuuj edycję"
"Save And Resume","Zapisz i kontynuuj."
"Save Answer","Zapisz odpowiedź"
"Save Attribute","Zapisz cechę"
"Save Attribute Set","Zapisz zestaw cech"
"Save Block","Zapisz blok"
"Save Category","Zapisz kategorię"
"Save Class","Zapisz klasę"
"Save config","Zapisz zmiany"
"Save Currency","Zapisz walutę"
"Save Customer","Zapisz klienta"
"Save Customer Group","Zapisz grupę klientów"
"Save Invoice","Zapisz fakturę"
"Save Newsletter","Zapisz newsletter"
"Save Order","Zapisz zamówienie"
"Save Page","Zapisz stronę"
"Save Poll","Zapisz ankietę"
"Save Rate","Zapisz stawkę"
"Save Rating","Zapisz ocenę"
"Save Review","Zapisz recenzję"
"Save Role","Zapisz poziom uprawnień"
"Save Rule","Zapisz regułę"
"Save Search","Zapisz wyszukiwanie"
"Save Store","Zapisz sklep"
"Save Tag","Zapisz tag"
"Save Template","Zapisz szablon"
"Save User","Zapisz użytkownika"
"Save Website","Zapisz witrynę"
Search,Szukaj
"Search Information","Informacje o wyszukiwaniu"
"Search Query","Zapytanie do wyszukiwarki"
"Search Report","Raport wyszukiwania"
"Search was successfully deleted","Usunięto wyszukiwanie"
"Search was successfully saved","Wyszukiwanie zostało zapisane"
Searchable,"Możliwe wyszukiwanie"
"Searchable on Front-end","Możliwe wyszukiwanie w sklepie"
"SEF URL Identifier","Identyfikator adresu SEO"
"Select All","Zaznacz wszystkie"
"Select All Stores","Wybierz wszystkie sklepy"
"Select Configurable Attributes ","Wybierz konfigurowalne cechy"
"Select from existing customer addresses:","Wybierz spośród istniejących adresów klienta:"
"Selected problem subscribers successfully unsubscribed","Subskrybenci dla których wystąpił zaznaczony problem zostali usunięci"
"Selected problems successfully deleted","Zaznaczone problemy zostały usunięte"
"Selected subscribers were successfully added to the selected queue","Zaznaczeni subskrybenci zostali dodani do kolejki"
"Send auto-generated password","Wyślij automatycznie wygenerowane hasło"
"Send Comment to the Customer","Wyślij komentarze do klienta"
Sender,Nadawca
"Sender Email","Adres email nadawcy"
"Sender Name","Nazwa nadawcy"
Sending,Wysyłanie
Sent,Wysłane
"Session Start Time","Czas sesji"
"Set as Default Billing Address","Ustaw jako domyślny adres płatnika"
"Set as Default Shipping Address","Ustaw jako podstawowy adres wysyłki"
"Set Name","Nazwa zestawu"
"Set Root Category For Store","Ustaw kategorię podstawową dla sklepu"
"Set root category for this store in the <a href=""%s"">configuration</a>","Ustaw kategorię podstawową dla sklepu w <a href=""%s"">Konfiguracji</a>"
Settings,Ustawienia
"Ship to Firstname","Imię (dostawa)"
"Ship to Last name","Nazwisko (dostawa)"
"Shipped to First Name","Imię (dostawa)"
"Shipped to Last Name","Nazwisko (Dostawa)"
Shipping,Dostawa
"Shipping Address","Adres dostawy"
"Shipping Method","Metoda dostawy"
"Shipping Price","Cena dostawy"
"Shopcart Products","Shopcart Products"
"Shopping Cart",Koszyk
"Shopping Cart Price Rules","Reguły koszyka"
"Shopping Cart Report","Raport koszyków"
"Signed Up From","Zapisany z"
SKU,"Kod producenta"
"Something went wrong...","Wystąpił nieoczekiwany błąd..."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Sorry, this feature is coming soon...","Ta funkcjonalność pojawi się niedługo. Przepraszamy..."
"Sort order","Kolejność wyświetlania"
"Sort Order","Kolejność wyświetlania"
"Source Model","Model źródłowy"
Start,Start
State,Województwo
State/Province,Województwo
Static,Statyczny
"Static Blocks","Bloki statyczne"
Status,Status
"Stop further rules processing","Zaniechaj przetwarzania kolejnych reguł"
Store,Sklep
"Store Code","Kod sklepu"
"Store Information","Informacje o sklepie"
"Store Name","Nazwa sklepu"
"Store was successfully saved","Sklep został zapisany"
Stores,Sklepy
"Street Address",Ulica
Subcribed,"Zapisany na newsletter"
Subject,Temat
"Submit Credit Memo","Wyślij dokument kredytowy"
"Submit Invoice","Wyślij fakturę"
"Submit Order","Wyślij zamówienie"
"Subscribe to Newsletter","Zapisz na newsletter"
"Subscribed to Newsletter?","Czy zapisany na newsletter?"
Subscriber,Subskrybent
Subscribers,Subskrybenci
"Subscribers From","Subskrybent OD"
Subtotal,Podsuma
"Summary of review","Podsumowanie recenzji"
"Summary of Review","Podsumowanie recenzji"
"Summary Rating","Podsumowanie oceny"
"Super product attributes configuration","Konfiguracja cech dla produktów wiązanych"
"Synonym For","Synonim dla"
"Synonym for","Synonim dla"
System,System
"System Properties","Właściwości systemowe"
Tag,Tag
"Tag Detail","Szczegóły taga"
"Tag Name","Nazwa taga"
"Tag use","Użycie taga"
"Tag was successfully deleted","Tag został usunięty"
"Tag was successfully saved","Tag został zapisany"
Tags,Tagi
"Tags Report","Rapor tagów"
Tax,Podatek
"Tax Amount","Wartość podatku"
"Tax class","Klasa podatku"
"Tax Class","Klasa podatku"
"Tax class was successfully deleted","Klasa podatku została usunięta"
"Tax class was successfully saved","Stawka podatku została zapisana"
"Tax Rate","Stawka podatku"
"Tax Rate Information","Informacje o stawce podatku"
"Tax rate was successfully deleted","Stawka podatku została usunięta"
"Tax rate was successfully saved","Stawka podatku została usunięta"
"Tax Rates","Stawki podatku"
"Tax rates file has been successfully imported","Stawki podatkowe zostały zaimportowane"
"Tax Rates Import / Export","Import / eksport stawek podatku"
"Tax Rule Information","Informacje o regule dla podatku"
"Tax rule was successfully deleted","Reguła podatku została usunięta"
"Tax rule was successfully saved","Reguła dla podatku została zapisana"
"Tax Rules","Reguły podatków"
Telephone,Telefon
"Template Content","Treść szablonu"
"Template Information","Informacje o szablonie"
"Template Name","Nazwa szablonu"
"Template Subject","Tytuł szablonu"
"Template Type","Typ szablonu"
Text,Tekst
"Text Area","Pole typu textarea"
"Text Field","Pole tekstowe"
"The block you are trying to save no longer exists","Blok który próbujesz zapisać nie istnieje"
"The information in this tab has been changed.","Zawrartość sekcji się zmieniła."
"The invoice you are trying to create credit memo for no longer exists","The invoice you are trying to create credit memo for no longer exists"
"The order you are trying to create invoice for no longer exists","Zamówienie dla którego chcesz utworzyć fakturę nie istnieje"
"The page you are trying to save no longer exists","Strona którą chcesz zapisać nie istnieje"
"There are no items in customer's shopping cart at the moment"," Aktualnie klient nie posiada żadnych produktów w koszyku"
"There are no items in customer's wishlist at the moment","Nie ma produktów na liście życzeń klienta"
"There is already a customer registered using this email","W bazie istnieje już klient używający tego adresu email"
"This account is","To konto jest"
"This attribute no longer exists","Taka cecha nie istnieje"
"This attribute shares the same value in all the stores","Ta cecha posiada tą samą wartość we wszystkich sklepach"
"This block no longer exists","Ten blok już nie istnieje"
"This group contains system attributes. Please move system attributes to another group and try again.","Nie możesz usunąć cech z tego zestawu. Przenieś je do innego zestawu i ponów próbę."
"This invoice no longer exists","Ta faktura już nie istnieje"
"This order no longer exists","Takie zamówienie nie istnieje"
"This page no longer exists","Ta strona nie istnieje"
"This rule no longer exists","Reguła nie istnieje"
"This search no longer exists","To wyszukiwanie już nie istnieje"
"This tab contains invalid data. Please, solve the problem before saving.","W tej zakładce znajdują się błędne dane. Popraw je zanim zapiszesz zmiany"
"This user already added to the role.","Ten użytkownik został dodany do grupy."
"This user no longer exists","Taki użytkownik nie istnieje"
Thumbnail,Miniatura
"Tier Pricing","Poziomy cen"
Time,Czas
Title,Tytuł
To,Do
"To Date","Data do"
"Today is %s",%s
"Toggle Editor","Włącz/wyłącz edytor"
Tools,Narzędzia
Total,Sumarycznie
"Total %d records found","Znaleziono w sumie <strong>%d</strong> rekordów"
"Total Due",Pozostało
"Total Paid","Zapłacono w sumie"
"Total Tags","Tagów w sumie"
"Transactional Emails","Emaile transakcyjne"
Type,Rodzaj
"Unable to apply rules","Nie udało się zastosować reguł"
"Unable to complete request. Please try again later.","Nie udało się zrealizować zadania. Ponów próbę."
"Unable to find a block to delete","Nie można znaleźć bloku do usunięcia"
"Unable to find a page to delete","Nie znaleziono strony do usunięcia"
"Unable to find a poll to delete","Nie można znaleźć ankiety do usunięcia"
"Unable to find a tag to delete","Nie znaleziono taga do usunięcia"
"Unable to find a user to delete","Nie znaleziono użytkownika do usunięcia"
"Unable to find an attribute to delete","Nie znaleziono cechy do usunięcia"
"Unable to find answer to delete.","Nie znaleziono odpowiedzi do usunięcia"
"Unable to get product id.","Nie udało się ustalić id produktu"
"Unassigned Attributes","Nieprzypisane cechy"
"Unique Value (not shared with other products)","Unikalna wartość (nie jest współdzielona z innymi produktami)"
Unknown,Nieznany
"Unselect All Stores","Odznacz wszystkie sklepy"
Unsubcribed,"Wypisany z newslettera"
"Unsubscribe Selected","Wypisz zaznaczonych z newslettera"
Up-sells,"Produkty alternatywne"
"Update Qty","Aktualizuj ilość"
Url,"Adres www"
"Use advanced conditions","Użyj zaawansowanych warunków"
"Use default","Użyj domyślnych ustawień"
"Use In Layered Navigation","Używane w dynamicznej nawigacji"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Używane w dynamicznej nawigacji<br/>(można używać tylko z rozwijanymi listami)"
"Use website","Użyj witryny"
"User description","Opis użytkownika"
"User Email","Email użytkownika"
"User ID","ID użytkownika"
"User Info","Informacje o użytkowniku"
"User Information","Informacje o użytkowniku"
"User Name","Nazwa użytkownika"
"User Name:","Nazwa użytkownika:"
"User Role","Uprawnienia użytkownika"
"User Roles","Uprawnienia użytkowników"
"User Roles Information","Informacja o grupach użytkowników"
"User was successfully deleted","Użytkownik został usunięty"
"User was successfully saved","Użytkowik został usunięty"
"User with the same User Name or Email aleady exists","Użytkownik o takim loginie lub adresie email już istnieje"
Users,Użytkownicy
"Uses per coupon","Ilość użyć dla kuponu"
"Uses per customer","Użyć na klienta"
"Values Required","Wartości wymagane"
Varchar,"Wartość typu varchar"
View,Zobacz
"View Customers","Zobacz klientów"
"View Invoice","Podgląd faktury"
"View Newsletter","Zobacz newsletter"
"View Order","Zobacz zamówienie"
"View Products","Zobacz produkty"
"Virtual Products","Produkty wirtualne"
Visibility,Widoczny
Visible,Widoczny
"Visible In","Widoczny w"
"Visible on Catalog Pages on Front-end","Widoczny w sklepie"
Visitor,Odwiedzający
Visitors,Odwiedzający
"Visitors Only","Tylko odwiedzający"
"Votes Count","Ilość głosów"
"Votes Count:","Ilość głosów:"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","We're in our typing table, coding away more features for Magento.<br/>Thank you for your patience."
Website,Witryna
"Website Code","Kod strony"
"Website Information","Informacje o witrynie"
"Website Name","Nazwa strony"
"Website was successfully saved","Website was successfully saved"
"What is this?","Co to jest?"
"Who's Online","Osoby online"
Wishlist,"Lista życzeń"
"Wishlist Report","Raport listy życzeń"
"Wishlist vs. Regular Order","Lista życzeń względem zwykłego zamówienia"
Wishlists,"Listy życzeń"
"Wrong column format","Nieprawidłowy format kolumny"
"Wrong tab configuration","Zła konfiguracja zakładek"
XML,XML
Yes,Tak
Yes/No,Tak/Nie
"You can not delete self assigned roles.","Nie możesz usuwać samodzielnie przypisanych grup"
"You cannot delete account of yourself","Nie możesz usunąć swojego konta"
"You cannot delete this attribute","Nie możesz skasować tej cechy"
"You cannot edit this attribute","Nie możesz edytować tej cechy"
"You cannot remove system attribute from this set.","Nie możesz usunąć cechy systemowej z tego zestawu."
"You cannot update this attribute","Nie można zaktualizować cechy"
"You have not enought permissions to login.","Nie masz uprawnień aby się zalogować"
"You successfully logged out.","Wylogowałeś się"
"ZIP/Post Code","Kod pocztowy"
"Zip/Post Code","Kod pocztowy"
"ZIP/Postal Code","Kod pocztowy"
"Zip/Postal Code","Kod pocztowy"
